ID,Response
ID_f3c74c7b_sentiment_test__hausa,1
ID_aad19dbf_sentiment_test__hausa,1
ID_f6de0381_sentiment_test__hausa,1
ID_885caf5c_sentiment_test__hausa,1
ID_7b906b9a_sentiment_test__hausa,1
ID_c1b27b2b_sentiment_test__hausa,1
ID_d8cf7774_sentiment_test__hausa,1
ID_e7cee9ee_sentiment_test__hausa,1
ID_c7dc56cb_sentiment_test__hausa,1
ID_05bbe7b1_sentiment_test__hausa,1
ID_4b6adc9c_sentiment_test__hausa,1
ID_33052866_sentiment_test__hausa,1
ID_cf957b31_sentiment_test__hausa,1
ID_f44b5290_sentiment_test__hausa,1
ID_6c19468d_sentiment_test__hausa,1
ID_381bf6ea_sentiment_test__hausa,1
ID_f515148a_sentiment_test__hausa,1
ID_6104a57f_sentiment_test__hausa,1
ID_a143530b_sentiment_test__hausa,1
ID_a3123ee2_sentiment_test__hausa,1
ID_fadd8a39_sentiment_test__hausa,1
ID_38a28112_sentiment_test__hausa,1
ID_b37e82b6_sentiment_test__hausa,1
ID_a9d6ce2d_sentiment_test__hausa,1
ID_e62697f5_sentiment_test__hausa,1
ID_681a9d1f_sentiment_test__hausa,1
ID_c27d6a1f_sentiment_test__hausa,1
ID_fbde5c73_sentiment_test__hausa,1
ID_14d3268a_sentiment_test__hausa,1
ID_d0b661ef_sentiment_test__hausa,1
ID_57706aa9_sentiment_test__hausa,1
ID_efd01523_sentiment_test__hausa,1
ID_a07535d9_sentiment_test__hausa,1
ID_ce676b5e_sentiment_test__hausa,1
ID_0af16a72_sentiment_test__hausa,1
ID_3cd3281b_sentiment_test__hausa,1
ID_b9057caa_sentiment_test__hausa,1
ID_768c3de0_sentiment_test__hausa,1
ID_468f8671_sentiment_test__hausa,1
ID_e6f000ee_sentiment_test__hausa,1
ID_218b3468_sentiment_test__hausa,1
ID_5b97e301_sentiment_test__hausa,1
ID_136eb52e_sentiment_test__hausa,1
ID_9f56765d_sentiment_test__hausa,1
ID_e1ad1d6b_sentiment_test__hausa,1
ID_173a5024_sentiment_test__hausa,1
ID_e7a45cb4_sentiment_test__hausa,1
ID_b2d80ab6_sentiment_test__hausa,1
ID_e7e6587c_sentiment_test__hausa,1
ID_18634de3_sentiment_test__hausa,1
ID_855b106a_sentiment_test__hausa,1
ID_c90d4a24_sentiment_test__hausa,1
ID_fb3709b8_sentiment_test__hausa,1
ID_4fca7ce4_sentiment_test__hausa,1
ID_34ba7a09_sentiment_test__hausa,1
ID_040459d8_sentiment_test__hausa,1
ID_6cf9c253_sentiment_test__hausa,1
ID_071c80ab_sentiment_test__hausa,1
ID_2a5a8336_sentiment_test__hausa,1
ID_304aa2f5_sentiment_test__hausa,1
ID_f2a85ff3_sentiment_test__hausa,1
ID_3a0477dc_sentiment_test__hausa,1
ID_5bc7b79b_sentiment_test__hausa,1
ID_f906a05e_sentiment_test__hausa,1
ID_a3c6b4f3_sentiment_test__hausa,1
ID_b5581ce7_sentiment_test__hausa,1
ID_4ba46a40_sentiment_test__hausa,1
ID_c72aed25_sentiment_test__hausa,1
ID_998f9a9a_sentiment_test__hausa,1
ID_92000713_sentiment_test__hausa,1
ID_006f2c04_sentiment_test__hausa,1
ID_b1983862_sentiment_test__hausa,1
ID_eb7a6010_sentiment_test__hausa,1
ID_8510254b_sentiment_test__hausa,1
ID_a5fcbbbc_sentiment_test__hausa,1
ID_6188460e_sentiment_test__hausa,1
ID_2f73e632_sentiment_test__hausa,1
ID_405b1779_sentiment_test__hausa,1
ID_d8fe0d70_sentiment_test__hausa,1
ID_c11386c1_sentiment_test__hausa,1
ID_cbec84fe_sentiment_test__hausa,1
ID_b9d2738a_sentiment_test__hausa,1
ID_0097c0a9_sentiment_test__hausa,1
ID_055ec0b2_sentiment_test__hausa,1
ID_1383b56a_sentiment_test__hausa,1
ID_448335eb_sentiment_test__hausa,1
ID_5b6cbf77_sentiment_test__hausa,1
ID_8267d453_sentiment_test__hausa,1
ID_85e4709e_sentiment_test__hausa,1
ID_d4fb37ab_sentiment_test__hausa,1
ID_975b6fad_sentiment_test__hausa,1
ID_a5e55896_sentiment_test__hausa,1
ID_7325df36_sentiment_test__hausa,1
ID_336f4ec5_sentiment_test__hausa,1
ID_ab4f1c87_sentiment_test__hausa,1
ID_817a3782_sentiment_test__hausa,1
ID_4134727d_sentiment_test__hausa,1
ID_7f633c23_sentiment_test__hausa,1
ID_f6510b2f_sentiment_test__hausa,1
ID_094f027e_sentiment_test__hausa,1
ID_b98063fa_sentiment_test__hausa,1
ID_a02f39e4_sentiment_test__hausa,1
ID_227f30f9_sentiment_test__hausa,1
ID_1837ba5d_sentiment_test__hausa,1
ID_4a17dae0_sentiment_test__hausa,1
ID_f665b316_sentiment_test__hausa,1
ID_3d6cc898_sentiment_test__hausa,1
ID_531a9bf0_sentiment_test__hausa,1
ID_403eae24_sentiment_test__hausa,1
ID_9855e7d7_sentiment_test__hausa,1
ID_8888336b_sentiment_test__hausa,1
ID_adae2783_sentiment_test__hausa,1
ID_5199efee_sentiment_test__hausa,1
ID_93954b30_sentiment_test__hausa,1
ID_57d1979b_sentiment_test__hausa,1
ID_a8573b5e_sentiment_test__hausa,1
ID_f5ab689e_sentiment_test__hausa,1
ID_039c5395_sentiment_test__hausa,1
ID_7e64bb0a_sentiment_test__hausa,1
ID_35e4690d_sentiment_test__hausa,1
ID_fdbe9b6c_sentiment_test__hausa,1
ID_8898bd7f_sentiment_test__hausa,1
ID_e3cd996c_sentiment_test__hausa,1
ID_482aa016_sentiment_test__hausa,1
ID_16f75e55_sentiment_test__hausa,1
ID_19e68750_sentiment_test__hausa,1
ID_d5401e58_sentiment_test__hausa,1
ID_1af2b09b_sentiment_test__hausa,1
ID_2a54a80a_sentiment_test__hausa,1
ID_dd5c1684_sentiment_test__hausa,1
ID_78fa085d_sentiment_test__hausa,1
ID_2b989f6d_sentiment_test__hausa,1
ID_336702f2_sentiment_test__hausa,1
ID_ccd75be2_sentiment_test__hausa,1
ID_e32270e1_sentiment_test__hausa,1
ID_226fb407_sentiment_test__hausa,1
ID_e842978a_sentiment_test__hausa,1
ID_9b35ba72_sentiment_test__hausa,1
ID_b091e1d4_sentiment_test__hausa,1
ID_3458d0da_sentiment_test__hausa,1
ID_47503dde_sentiment_test__hausa,1
ID_59686998_sentiment_test__hausa,1
ID_f9e84767_sentiment_test__hausa,1
ID_b73e84dc_sentiment_test__hausa,1
ID_5e5b06e1_sentiment_test__hausa,1
ID_2d5d42c1_sentiment_test__hausa,1
ID_a95c4eda_sentiment_test__hausa,1
ID_c3eb5891_sentiment_test__hausa,1
ID_a540db97_sentiment_test__hausa,1
ID_e477521e_sentiment_test__hausa,1
ID_cbec84fe_sentiment_test__swahili,1
ID_a5e55896_sentiment_test__swahili,1
ID_4ba46a40_sentiment_test__swahili,1
ID_93954b30_sentiment_test__swahili,1
ID_3a0477dc_sentiment_test__swahili,1
ID_e842978a_sentiment_test__swahili,1
ID_e7a45cb4_sentiment_test__swahili,1
ID_35e4690d_sentiment_test__swahili,1
ID_0097c0a9_sentiment_test__swahili,1
ID_57706aa9_sentiment_test__swahili,1
ID_304aa2f5_sentiment_test__swahili,1
ID_b2d80ab6_sentiment_test__swahili,1
ID_e32270e1_sentiment_test__swahili,1
ID_eb7a6010_sentiment_test__swahili,1
ID_a143530b_sentiment_test__swahili,1
ID_a8573b5e_sentiment_test__swahili,1
ID_c1b27b2b_sentiment_test__swahili,1
ID_8510254b_sentiment_test__swahili,1
ID_ccd75be2_sentiment_test__swahili,1
ID_7b906b9a_sentiment_test__swahili,1
ID_006f2c04_sentiment_test__swahili,1
ID_fdbe9b6c_sentiment_test__swahili,1
ID_c11386c1_sentiment_test__swahili,1
ID_5199efee_sentiment_test__swahili,1
ID_2b989f6d_sentiment_test__swahili,1
ID_18634de3_sentiment_test__swahili,1
ID_448335eb_sentiment_test__swahili,1
ID_7f633c23_sentiment_test__swahili,1
ID_d8cf7774_sentiment_test__swahili,1
ID_1837ba5d_sentiment_test__swahili,1
ID_403eae24_sentiment_test__swahili,1
ID_c27d6a1f_sentiment_test__swahili,1
ID_071c80ab_sentiment_test__swahili,1
ID_6cf9c253_sentiment_test__swahili,1
ID_039c5395_sentiment_test__swahili,1
ID_f9e84767_sentiment_test__swahili,1
ID_531a9bf0_sentiment_test__swahili,1
ID_efd01523_sentiment_test__swahili,1
ID_a9d6ce2d_sentiment_test__swahili,1
ID_8888336b_sentiment_test__swahili,1
ID_b091e1d4_sentiment_test__swahili,1
ID_173a5024_sentiment_test__swahili,1
ID_e62697f5_sentiment_test__swahili,1
ID_3d6cc898_sentiment_test__swahili,1
ID_d4fb37ab_sentiment_test__swahili,1
ID_405b1779_sentiment_test__swahili,1
ID_f44b5290_sentiment_test__swahili,1
